item,Date,Machine,A,P,Q,OEE,Remark,color,Target,date2
158,2021-07-10,08W015,100,88.72,100,88.72,,#059918,85,2021-11-05
159,2021-07-10,08W032,100,90.63,100,90.63,,#059918,85,2021-11-06
160,2021-07-10,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-07
161,2021-07-11,07W118,100,85.15,100,85.15,,#059918,85,2021-11-08
162,2021-07-11,08W015,100,97.65,100,97.65,,#059918,85,2021-11-09
163,2021-07-11,08W032,100,85.57,100,85.57,,#059918,85,2021-11-10
164,2021-07-11,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-11
165,2021-07-12,07W118,100,91.02,100,91.02,,#059918,85,2021-11-12
166,2021-07-12,08W015,100,96.02,100,96.02,,#059918,85,2021-11-13
167,2021-07-12,08W032,100,89.4,100,89.4,,#059918,85,2021-11-14
168,2021-07-12,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-15
169,2021-07-13,07W118,100,85.27,100,85.27,,#059918,85,2021-11-16
170,2021-07-13,08W015,100,94.63,100,94.63,,#059918,85,2021-11-17
171,2021-07-13,08W032,100,89.9,100,89.9,,#059918,85,2021-11-18
172,2021-07-13,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-19
173,2021-07-14,07W118,100,89.82,100,89.82,,#059918,85,2021-11-20
174,2021-07-14,08W015,100,94.63,100,94.63,,#059918,85,2021-11-21
175,2021-07-14,08W032,100,86.11,100,86.11,,#059918,85,2021-11-22
176,2021-07-14,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-23
177,2021-07-15,07W118,100,88.29,100,88.29,,#059918,85,2021-11-24
178,2021-07-15,08W015,100,94.63,100,94.63,,#059918,85,2021-11-25
179,2021-07-15,08W032,100,85.52,100,85.52,,#059918,85,2021-11-26
180,2021-07-15,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-11-27
181,2021-07-16,07W118,100,120,100,120,,#059918,85,2021-11-28
182,2021-07-16,08W015,100,94.63,100,94.63,,#059918,85,2021-11-29
183,2021-07-16,08W032,100,80.11,100,80.11,N/A,#ff0000,85,2021-11-30
184,2021-07-16,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2021-12-01
185,2021-07-17,07W118,100,92,100,92,,#059918,85,2021-12-02
186,2021-07-17,08W015,100,94.63,100,94.63,,#059918,85,2021-12-03
187,2021-07-17,08W032,100,87.83,100,87.83,,#059918,85,2021-12-04
188,2021-07-17,45W021,100,88.89,100,88.89,,#059918,85,2021-12-05
189,2021-07-18,07W118,100,96,100,96,,#059918,85,2021-12-06
190,2021-07-18,08W015,100,94.63,100,94.63,,#059918,85,2021-12-07
191,2021-07-18,08W032,100,82.91,100,82.91,N/A,#ff0000,85,2021-12-08
192,2021-07-18,45W021,100,98.44,100,98.44,,#059918,85,2021-12-09
193,2021-07-19,07W118,100,90.59,100,90.59,,#059918,85,2021-12-10
194,2021-07-19,08W015,100,94.63,100,94.63,,#059918,85,2021-12-11
195,2021-07-19,08W032,100,88.93,100,88.93,,#059918,85,2021-12-12
196,2021-07-19,45W021,100,96.89,100,96.89,,#059918,85,2021-12-13
197,2021-07-20,07W118,100,96.41,100,96.41,,#059918,85,2021-12-14
198,2021-07-20,08W015,100,94.63,100,94.63,,#059918,85,2021-12-15
199,2021-07-20,08W032,100,85.33,100,85.33,,#059918,85,2021-12-16
200,2021-07-20,45W021,100,91.43,100,91.43,,#059918,85,2021-12-17
201,2021-07-21,07W118,100,94.36,100,94.36,,#059918,85,2021-12-18
202,2021-07-21,08W015,100,94.63,100,94.63,,#059918,85,2021-12-19
203,2021-07-21,08W032,100,91.5,100,91.5,,#059918,85,2021-12-20
204,2021-07-21,45W021,100,94.96,100,94.96,,#059918,85,2021-12-21
205,2021-07-22,07W118,100,95.74,100,95.74,,#059918,85,2021-12-22
206,2021-07-22,08W015,100,94.63,100,94.63,,#059918,85,2021-12-23
207,2021-07-22,08W032,100,85.66,100,85.66,,#059918,85,2021-12-24
208,2021-07-22,45W021,100,96.63,100,96.63,,#059918,85,2021-12-25
209,2021-07-23,07W118,100,90.92,100,90.92,,#059918,85,2021-12-26
210,2021-07-23,08W015,100,94.63,100,94.63,,#059918,85,2021-12-27
211,2021-07-23,08W032,100,87.11,100,87.11,,#059918,85,2021-12-28
212,2021-07-23,45W021,100,88.19,100,88.19,,#059918,85,2021-12-29
213,2021-07-24,07W118,100,96.26,100,96.26,,#059918,85,2021-12-30
214,2021-07-24,08W015,100,94.63,100,94.63,,#059918,85,2021-12-31
215,2021-07-24,08W032,100,70.7,100,70.7,N/A,#ff0000,85,2022-01-01
216,2021-07-24,45W021,100,89.91,100,89.91,,#059918,85,2022-01-02
217,2021-07-25,07W118,100,96.84,100,96.84,,#059918,85,2022-01-03
218,2021-07-25,08W015,100,94.63,100,94.63,,#059918,85,2022-01-04
219,2021-07-25,08W032,100,89.77,100,89.77,,#059918,85,2022-01-05
220,2021-07-25,45W021,100,99.35,100,99.35,,#059918,85,2022-01-06
221,2021-07-26,07W118,100,99.9,100,99.9,,#059918,85,2022-01-07
222,2021-07-26,08W015,100,94.63,100,94.63,,#059918,85,2022-01-08
223,2021-07-26,08W032,100,70.34,100,70.34,N/A,#ff0000,85,2022-01-09
224,2021-07-26,45W021,100,93.44,100,93.44,,#059918,85,2022-01-10
225,2021-07-27,07W118,100,98.12,100,98.12,,#059918,85,2022-01-11
226,2021-07-27,08W015,100,94.63,100,94.63,,#059918,85,2022-01-12
227,2021-07-27,08W032,100,85.78,100,85.78,,#059918,85,2022-01-13
228,2021-07-27,45W021,100,97.2,100,97.2,,#059918,85,2022-01-14
229,2021-07-28,07W118,100,95.22,100,95.22,,#059918,85,2022-01-15
230,2021-07-28,08W015,100,94.63,100,94.63,,#059918,85,2022-01-16
231,2021-07-28,08W032,100,95.12,100,95.12,,#059918,85,2022-01-17
232,2021-07-28,45W021,100,93.44,100,93.44,,#059918,85,2022-01-18
